states,crop1,crop2,crop3,crop4
Andaman and Nicobar,Coconut,Banana,Areca nut,Black pepper
Andra Pradesh,Rice,cotton,Groundnut,chilli
Arunachal Pradesh,Rice,Maize,Millets,Sugarcane
Assam,orange,mango,Tea,Jute
Bihar,Rice,Wheat,Maize,Sugarcane
Chandigarh,Wheat,Maize,Potatoes,Tomatoes
Chhattisgarh,Rice,Maize,Pigeon pea,Groundnut
Dadar and Nagar Haveli,Rice,green gram,Sugarcane,Brinjal
Daman and Diu,Rice,green gram,Sugarcane,Brinjal
Delhi,Wheat,Rice,Green gram,Potatoes
Goa,Rice,Coconut,Cashew nut,Betel nut
Gujarat,Cotton,Groundnut,Rice,Sugarcane
Haryana,Wheat,Rice,Sugarcane,Maize
Himachal Pradesh,Apple,Tomatoes,Peas,Potatoes
Jammu and Kashmir,Apples,Walnuts,Saffron,Rice
Jharkhand,Paddy,Maize,Sugarcane,Arhar
Karnataka,Sugarcane,Rice,Coconut,Areca nut
Kerala,Coconut,Rubber,Pepper,Tapioca
Lakshadweep,Coconut,Tapioca,Banana,Sweet potatoes
Madya Pradesh,Soybean,Wheat,Chickpea,Paddy
Maharashtra,Sugarcane,Cotton,Rice,greenpea
Manipur,Rice,Maize,Soybean,Sugarcane
Meghalaya,Rice,Maize,Potatoes,Ginger
Mizoram,Rice,Maize,Sugarcane,Pineapple
Nagaland,Rice,Maize,Mustard,Tea
Orissa,Rice,Pigeon pea,Coconut,Sugarcane
Puducherry,Rice,Coconut,Groundnut,Sugarcane
Punjab,Wheat,Rice,Maize,Barley
Rajasthan,Wheat,Barley,Groundnut,Mustard
Sikkim,Rice,Maize,Millets,Potatoes
Tamil Nadu,Rice,Sugarcane,Coconut,Groundnut
Telangana,Rice,Maize,Sugarcane,Cotton
Tripura,Rice,Jute,Sugarcane,Mango
Uttarakhand,Rice,Wheat,Maize,Potatoes
Uttar Pradesh,Wheat,Rice,Sugarcane,Barley
West Bengal,Rice,Jute,Sugarcane,Tea
