state,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Andra Pradesh,281.1,293.3916667,246.45,256.6333333,213.8916667,211.2,278.9916667,298.0333333,241.8087047,241.6166667,223.9333333,246.7083333,197.15,246.4833333,228.4416667,244.7916667,217.7,272.9166667,196.0083333,245.2666667,217.2,296.1833333,256.6329586,195.8029048,206.7083333,273.5166667,203.575,249.8583333,243.8833333,256.2583333,196.475,147.6021466,248.9583333,310.2333333,262.8333333,256.8151426,299.2583333,272.0333333,231.875,250.625,241.5166667,118.3874571,241.8087047,241.8087047,241.8087047,232.6333333,257.6759886,241.8087047,290.8,201.85,272.925,256.6583333,226.8333333,287.4166667,279.1333333,256.6583333,208.9333333,233.95,278.6166667,252.0916667,328.1833333,246.6416667,248.475,254.5666667,263.6583333,225.1,268.05,230.2333333,218.2666667,280.9083333,249.8916667,276.925,249.25,246.8416667,257.1333333,273,199.0166667,226.0333333,154.1083333,302.1083333,256.225,198.7083333,232.7083333,235.025,219.2333333,182.325,230.325,276.925,211.1416667,181.9333333,211.3,174.8833333,186.45,271.925,259.625,249.7416667,229.5916667,237.2,224.975,230.2583333,256.7333333,218.3416667,196.3083333,205,246.2083333,200.3916667,229.0166667,281.2416667,211.55,263.0916667,319,291.4666667,313.1416667,218.5416667,242.0416667,237.6583333,240.8333333
Arunachal Pradesh,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,284.2310818,293.2503363,302.1996253,457.1916667,391.1583333,342.225,474.2833333,348.9333333,292.2916667,370.875,369.9833333,293.4666667,437.7666667,439.3916667,360.0083333,361.1916667,406.0083333,404.2416667,314.45,381.3,347.7916667,399.0583333,281.2583333,510.7583333,324.8833333,341.625,351.6833333,319.025,360.55,325.3583333,304.1,334.2666667,364.0916667,527.5916667,406.2333333,218.4373087,279.525,199.675,222.9762261,284.2310818,284.2310818,284.2310818,320.3281374,421.9583333,349.625,309.1166667,306.375,400.9021285,344.8333333,413.275,183.0666667,184.1416667,139.0416667,178.2416667,156.4833333,164.45,182.05,190.1083333,204.8,255.3333333,184.45,201.6333333,314.5333333,210.9166667,231.1416667,267.95,232.5666667,231.6166667,277.925,273.175,272.2,207.9666667,286.1083333,346.2833333,273.475,300.3416667,286.2083333,225.5666667,279.075,190.6083333,255.7333333,210.05,189.575,301.3916667,193.0583333,216.4083333,169.6583333,199.1083333,204.3083333,212.15,194.625,188.2833333,251.7166667,187.0416667,145.8333333,237.9666667,182.8,286.7083333,170.2416667,200.2583333,230.625,225.5666667,228.7916667
Assam,208.225,246.0083333,212.05,222.0166667,232.5583333,221.9333333,210.1083333,189.8166667,198.0833333,240.6083333,258.0083333,228.6166667,230.0416667,195.325,263.7666667,216.75,210,258.9,195.3416667,218.6416667,249.9583333,188.5,203.3666667,224.3,212.5416667,209.3,232.7416667,219.5083333,246.15,212.5666667,233.3416667,240.7166667,194.925,256.2333333,223.2083333,222.6083333,193.7166667,232.2083333,200.125,204.3083333,225.7833333,223.0916667,225.3166667,210.3666667,222.1416667,223.2916667,220.2666667,265.4583333,248.6083333,199.3666667,217.825,237.6083333,213.3333333,238.2666667,230.1,233.575,188.0833333,218.875,211.3083333,195.1833333,182.95,191.3333333,209.3083333,227.475,199.9083333,232.4416667,176.9416667,210.9,194.3583333,254.0416667,192.925,198.2583333,222.675,283.6333333,189.2166667,163,218.0583333,167.65,182.3666667,190.7666667,173.275,198.525,218.35,263.075,233.475,216.0583333,243.4666667,271.8083333,223.525,230.9333333,236.5,188.3083333,239.9333333,176.775,240.5,205.5666667,197.6833333,233.5916667,216.175,207.2333333,181.55,199.3833333,202.85,249.5166667,205.6833333,158.225,229.3916667,194.9666667,172.35,225.95,145.2916667,217.45,151.375,183.85,205.9166667,188.8916667,225.9666667
Bihar,79.36666667,100.5166667,84.7,105.8083333,124.8833333,105.425,93.86666667,61.45833333,115.8833333,116.5333333,120.75,94.11666667,127.4916667,88.325,112.4583333,125.3833333,111.1666667,117.6333333,104.3833333,93.65,106.0333333,120.7666667,81.89166667,121.35,99.29166667,93.475,91.69166667,104.1333333,113.2666667,92.85833333,95.53333333,77.25,116.05,102.1916667,103.3583333,131.0416667,108.8666667,125.5583333,103.6,90.68333333,101.9166667,104.3833333,97.48333333,102.4083333,103.5666667,116.15,91.01666667,108.275,120.3666667,93.71666667,70.85,100.575,114.9,87.55,103.6916667,124.4416667,80.56666667,97.29166667,98.30833333,103.9833333,104.8333333,98.16666667,110.5166667,93.525,83.56666667,63.91666667,83.31666667,95,107.375,89.55,119.375,59.825,99.09166667,102.9333333,89.09166667,96.80833333,95.64166667,107.5666667,83.48333333,104.3333333,113.7166667,77.8,92.025,118.85,121.25,110.175,138.375,111.4583333,105.825,103.2666667,87.15,66.45833333,100.7,80.775,92.66666667,92.275,108.6416667,111.05,116.8916667,100.5833333,103.925,92.15,112.8166667,95.63333333,75.65,87.73333333,133.3416667,99.8,74.125,52.43333333,91.44166667,86.03333333,89.15,88.41666667,72.725,96.5,92.66666667
Chandigarh,32.51666667,34.975,35.74166667,43.95833333,26.9,49.475,36.99166667,57.41666667,64.11666667,50.43333333,42.475,44.1,42.375,55.39166667,35.2,52.43333333,82.23333333,19.55,46.15,30.73333333,37.2,46.05833333,48.45833333,54.56666667,46.425,51.33333333,41.86666667,32.35,25.55,41.71666667,43.25,36.65833333,71.40833333,41.775,47.36666667,42.59166667,40.13333333,23.24166667,25.85833333,32.975,30.325,67.03333333,33.99166667,40.35833333,54.55833333,36.475,38.71666667,49.33333333,40.44166667,45.93333333,28.18333333,46.375,46.81666667,44.74166667,57.83333333,54.475,51.43333333,56.08333333,40.41666667,60.24166667,52.31666667,42.58333333,43.475,59.25,31.825,58.99166667,69.99166667,32.35833333,39.76666667,44.85,53.06666667,36.73333333,43.925,32.075,51.83333333,60.55833333,61.675,54.275,28.45833333,42.775,41.10833333,42.21666667,62.04166667,39.93333333,47.7,37.58333333,26.55,70.425,34.70833333,58.6,32.81666667,35.79166667,43.64166667,47.025,68.26666667,53.725,55.71666667,57.10833333,28.70833333,32.03333333,40.45,29.775,49.78333333,40.6,43.28333333,27.58333333,37.21666667,59.19166667,32.94166667,53.36666667,42.675,32.60833333,38.44166667,25.45833333,36.29166667,33.225,35.14166667
Chhatisgarh,115.575,76.99166667,110.925,124.3666667,104.2416667,116.2166667,109.0666667,124.0666667,107.0083333,117.275,125.3583333,102.2416667,102.8916667,118.1666667,121.325,120.2583333,143.975,114.775,154.9166667,100.2833333,109.9333333,109.0666667,115.6,111.1916667,144.75,136.2333333,128.1,101.5916667,138.65,115.3,122.2416667,113.1166667,137.5666667,127.4166667,105.7666667,152.1833333,134.725,125.4833333,123.3666667,120.7083333,83.75833333,133.175,137.0833333,149.3833333,132.125,133.2583333,133.3083333,124.3083333,124.9583333,107.6833333,117.6333333,116.3666667,114.1833333,99.48333333,120.0583333,129.75,101.8666667,126.7416667,128.6916667,113.7,164.4916667,93.725,111.425,125.7416667,78.45833333,90.58333333,122.7,97.33333333,97.70833333,125.125,127.8166667,99.91666667,122.275,79.25833333,122.9416667,114.95,122.1083333,114.1916667,75.38333333,124.6166667,101.3666667,99.775,114.3416667,104.5583333,103.125,114.05,95.23333333,100.525,98.93333333,136.9916667,101.7416667,96.38333333,100.45,146.2166667,106.725,98.925,109.7666667,111.0583333,110.225,75.53333333,133.3416667,82.53333333,141.1833333,95.39166667,107.275,109.8166667,106.7666667,92.38333333,79.725,108.8833333,108.55,114.7833333,118.3333333,106.55,93.14166667,109.6583333,93.70833333
Dadra and Nagar Haveli,46.19166667,72,73.975,41.05,67.625,74.20833333,83.075,85.625,81.48333333,81.21666667,33.625,93.21666667,96.88333333,92.29166667,47.275,79.40833333,127.075,32.725,88.95,59.06666667,97.725,73.21666667,46.1,75.8,49.41666667,106.2,118.5083333,68.41666667,56.35833333,74.55,92.04166667,75.55,94.75,81.625,63.08333333,50.76666667,100.25,67.89166667,50.46666667,72.5,80.14166667,98.88333333,76.06666667,111.7,106.4,95.63333333,65.275,39.48333333,66.7,94.10833333,39.86666667,64.7,87.95,103.9916667,81.29166667,113.8916667,53.98333333,93.60833333,130.05,54.13333333,78.75,64.41666667,83.14166667,74.39166667,54.73333333,58.04166667,78.21666667,55.65833333,65.74166667,112.825,64.1,41.975,96.64166667,35.10833333,99.38333333,135.0083333,108.9666667,77.98333333,75.36666667,68.50833333,92.85,63.18333333,101.1666667,71.14166667,49.14166667,41.825,33.48333333,91.45,68.575,93.19166667,56.05833333,75.08333333,78.44166667,127.875,57.01666667,75.225,89.08333333,89.16666667,47.38333333,45.875,70.75,53.1,96.68333333,83.81666667,109.6916667,123.1666667,98.25,75.925,53.45833333,90.725,74.19166667,59.49166667,93.2,58.80833333,51.91666667,63.725,85.36666667
Delhi,32.51666667,34.975,35.74166667,43.95833333,26.9,49.475,36.99166667,57.41666667,64.11666667,50.43333333,42.475,44.1,42.375,55.39166667,35.2,52.43333333,82.23333333,19.55,46.15,30.73333333,37.2,46.05833333,48.45833333,54.56666667,46.425,51.33333333,41.86666667,32.35,25.55,41.71666667,43.25,36.65833333,71.40833333,41.775,47.36666667,42.59166667,40.13333333,23.24166667,25.85833333,32.975,30.325,67.03333333,33.99166667,40.35833333,54.55833333,36.475,38.71666667,49.33333333,40.44166667,45.93333333,28.18333333,46.375,46.81666667,44.74166667,57.83333333,54.475,51.43333333,56.08333333,40.41666667,60.24166667,52.31666667,42.58333333,43.475,59.25,31.825,58.99166667,69.99166667,32.35833333,39.76666667,44.85,53.06666667,36.73333333,43.925,32.075,51.83333333,60.55833333,61.675,54.275,28.45833333,42.775,41.10833333,42.21666667,62.04166667,39.93333333,47.7,37.58333333,26.55,70.425,34.70833333,58.6,32.81666667,35.79166667,43.64166667,47.025,68.26666667,53.725,55.71666667,57.10833333,28.70833333,32.03333333,40.45,29.775,49.78333333,40.6,43.28333333,27.58333333,37.21666667,59.19166667,32.94166667,53.36666667,42.675,32.60833333,38.44166667,25.45833333,36.29166667,33.225,35.14166667
Goa,232.7333333,222.8333333,257.0166667,199.475,140.2416667,201.5666667,230.5416667,227.9583333,238.375,212,177.8916667,232.7666667,218.125,288.7166667,210.4833333,283.55,285.9083333,155.6,237.65,160.3333333,241.6,234.8,230.8666667,203.6833333,192.1,263.8166667,228.9166667,264.375,209.1083333,237.15,333.275,246.9083333,278.6166667,272.6916667,211.8833333,231.9416667,265.9916667,291.2916667,229.8833333,276.1416667,157.475,273.2833333,270.9333333,246.0166667,270.375,279.9166667,257.5083333,259.9666667,267.8083333,244.1,237.4416667,210.1583333,277.3083333,315.8666667,324.7833333,305.3083333,260.2916667,333.3583333,299.05,252.3166667,326.75,290.4333333,300.5666667,266.0583333,255.9666667,202.3,229.3666667,196.6083333,260.6083333,299.7166667,229.5,156.0833333,236.35,257.225,292.9583333,255.2416667,258.6166667,240.4583333,209.1,227.0166667,260.3916667,224.9,317.875,215.3166667,247.375,177.3,219.5833333,274.4166667,230.95,297.3333333,246.2166667,236.7,290.0666667,264.9833333,230.5083333,243.4,252.2666667,269.55,242.675,261.1,199.6166667,211.4416667,236.85,248.8416667,301.3166667,290.1833333,289.025,254.4166667,226.3833333,314.8416667,318.7666667,251.5333333,293.6583333,229.8083333,173.4833333,305.325,286.95
Gujarat,46.19166667,72,73.975,41.05,67.625,74.20833333,83.075,85.625,81.48333333,81.21666667,33.625,93.21666667,96.88333333,92.29166667,47.275,79.40833333,127.075,32.725,88.95,59.06666667,97.725,73.21666667,46.1,75.8,49.41666667,106.2,118.5083333,68.41666667,56.35833333,74.55,92.04166667,75.55,94.75,81.625,63.08333333,50.76666667,100.25,67.89166667,50.46666667,72.5,80.14166667,98.88333333,76.06666667,111.7,106.4,95.63333333,65.275,39.48333333,66.7,94.10833333,39.86666667,64.7,87.95,103.9916667,81.29166667,113.8916667,53.98333333,93.60833333,130.05,54.13333333,78.75,64.41666667,83.14166667,74.39166667,54.73333333,58.04166667,78.21666667,55.65833333,65.74166667,112.825,64.1,41.975,96.64166667,35.10833333,99.38333333,135.0083333,108.9666667,77.98333333,75.36666667,68.50833333,92.85,63.18333333,101.1666667,71.14166667,49.14166667,41.825,33.48333333,91.45,68.575,93.19166667,56.05833333,75.08333333,78.44166667,127.875,57.01666667,75.225,89.08333333,89.16666667,47.38333333,45.875,70.75,53.1,96.68333333,83.81666667,109.6916667,123.1666667,98.25,75.925,53.45833333,90.725,74.19166667,59.49166667,93.2,58.80833333,51.91666667,63.725,85.36666667
